id;imdb_id;popularity;budget;revenue;original_title;cast;homepage;director;tagline;keywords;runtime;genres;production_companies;release_date;vote_count;vote_average;release_year;budget_adj;revenue_adj
206647;tt2379713;6.200282;245000000;880674609;Spectre;Daniel Craig;http://www.sonypictures.com/movies/spectre/;Sam Mendes;A Plan No One Escapes;spy|based on novel|secret agent|sequel|james bond;148.0;Action;Columbia Pictures;10-26-15;3254.0;6.2;2015.0;225399900.824043;810220283.783075
76757;tt1617661;6.189369;176000003;183987723;Jupiter Ascending;Mila Kunis;http://www.jupiterascending.com;Lana Wachowski|Lilly Wachowski;Expand your universe.;jupiter|space|woman director|3d|interspecies romance;124.0;Science Fiction;Village Roadshow Pictures;02-04-2015;1937.0;5.2;2015.0;161919931.51523;169268630.681802
264660;tt0470752;6.118847;15000000;36869414;Ex Machina;Domhnall Gleeson;http://exmachina-movie.com/;Alex Garland;There is nothing more human than the will to survive;dancing|artificial intelligence|helicopter|distrust|isolation;108.0;Drama;DNA Films;1-21-15;2854.0;7.6;2015.0;13799993.9280026;33919845.9552677
257344;tt2120120;5.984995;88000000;243637091;Pixels;Adam Sandler;http://www.pixels-movie.com/;Chris Columbus;Game On.;video game|nerd|alien attack|3d|pixels;105.0;Action;Columbia Pictures;7-16-15;1575.0;5.8;2015.0;80959964.3776156;224146025.095748
99861;tt2395427;5.944927;280000000;1405035767;Avengers: Age of Ultron;Robert Downey Jr.;http://marvel.com/movies/movie/193/avengers_age_of_ultron;Joss Whedon;A New Age Has Come.;marvel comic|comic|sequel|superhero|vision;141.0;Action;Marvel Studios;4-22-15;4304.0;7.4;2015.0;257599886.656049;1292632336.88177
273248;tt3460252;5.8984;44000000;155760117;The Hateful Eight;Samuel L. Jackson;http://thehatefuleight.com/;Quentin Tarantino;No one comes up here without a damn good reason.;bounty hunter|wyoming|mountains|hangman|voice over narration;167.0;Crime;Double Feature Films;12-25-15;2389.0;7.4;2015.0;40479982.1888078;143299244.588332
260346;tt2446042;5.749758;48000000;325771424;Taken 3;Liam Neeson;http://www.taken3movie.com/;Olivier Megaton;It Ends Here;revenge|murder|on the run|fugitive|framed;109.0;Crime;Twentieth Century Fox Film Corporation;01-01-2015;1578.0;6.1;2015.0;44159980.5696085;299709578.207785
102899;tt0478970;5.573184;130000000;518602163;Ant-Man;Paul Rudd;http://marvel.com/movies/movie/180/ant-man;Peyton Reed;Heroes Don't Get Any Bigger;marvel comic|superhero|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe;115.0;Science Fiction;Marvel Studios;7-14-15;3779.0;7.0;2015.0;119599947.376023;477113780.029936
150689;tt1661199;5.556818;95000000;542351353;Cinderella;Lily James;;Kenneth Branagh;Midnight is just the beginning.;cinderella|magic|fairy tale|princess|shoe;112.0;Romance;Walt Disney Pictures;03-12-2015;1495.0;6.8;2015.0;87399961.5440169;498963025.216268
131634;tt1951266;5.476958;160000000;650523427;The Hunger Games: Mockingjay - Part 2;Jennifer Lawrence;http://www.thehungergames.movie/;Francis Lawrence;The fire will burn forever.;revolution|strong woman|dystopia|game of death|3d;136.0;War;Studio Babelsberg;11-18-15;2380.0;6.5;2015.0;147199935.232028;598481289.508232
158852;tt1964418;5.462138;190000000;209035668;Tomorrowland;Britt Robertson;http://movies.disney.com/tomorrowland;Brad Bird;Imagine a world where nothing is impossible.;inventor|apocalypse|destiny|imax|dreamer;130.0;Action;Walt Disney Pictures;5-19-15;1899.0;6.2;2015.0;174799923.088033;192312729.942398
307081;tt1798684;5.337064;30000000;91709827;Southpaw;Jake Gyllenhaal;;Antoine Fuqua;Believe in Hope.;sport;123.0;Action;Escape Artists;6-15-15;1386.0;7.3;2015.0;27599987.8560053;84373003.7158783
254128;tt2126355;4.907832;110000000;470490832;San Andreas;Dwayne Johnson;http://www.sanandreasmovie.com/;Brad Peyton;A rescue pilot survived an earthquake, this is what happens next;california|earthquake|catastrophe|disaster film|3d;114.0;Action;New Line Cinema;5-27-15;2060.0;6.1;2015.0;101199955.472019;432851374.985395
216015;tt2322441;4.71040199999999;40000000;569651467;Fifty Shades of Grey;Dakota Johnson;https://www.facebook.com/fiftyshadesofgreymovie;Sam Taylor-Johnson;Are you curious?;based on novel|billionaire|bdsm|woman director|erotic movie;125.0;Drama;Focus Features;02-11-2015;1865.0;5.3;2015.0;36799983.8080071;524079119.045187
318846;tt1596363;4.648046;28000000;133346506;The Big Short;Christian Bale;http://www.thebigshortmovie.com/;Adam McKay;This is a true story.;bank|fraud|biography|wall street|finances;130.0;Comedy;Paramount Pictures;12-11-2015;1545.0;7.3;2015.0;25759988.6656049;122678731.541358
177677;tt2381249;4.566713;150000000;682330139;Mission: Impossible - Rogue Nation;Tom Cruise;http://www.missionimpossible.com;Christopher McQuarrie;Desperate Times. Desperate Measures.;spy|sequel|mission;131.0;Action;Paramount Pictures;7-23-15;2349.0;7.1;2015.0;137999939.280026;627743451.672881
214756;tt2637276;4.564549;68000000;215863606;Ted 2;Mark Wahlberg;;Seth MacFarlane;Ted is Coming, Again.;sperm bank|sequel|buddy|courthouse|teddy bear;115.0;Comedy;Universal Pictures;6-25-15;1666.0;6.3;2015.0;62559972.4736121;198594430.13845
207703;tt2802144;4.503789;81000000;403802136;Kingsman: The Secret Service;Taron Egerton;http://www.kingsmanmovie.com/;Matthew Vaughn;Manners maketh man.;spy|great britain|secret organization|secret agent|marvel comic;130.0;Crime;Twentieth Century Fox Film Corporation;1-24-15;3833.0;7.6;2015.0;74519967.2112144;371497801.660967
314365;tt1895587;4.062293;20000000;88346473;Spotlight;Mark Ruffalo;http://www.spotlightthefilm.com;Tom McCarthy;Break the story. Break the silence.;child abuse|journalism|judge|florida|boston;128.0;Drama;Participant Media;11-06-2015;1559.0;7.8;2015.0;18399991.9040035;81278719.3973634
294254;tt4046784;3.968891;61000000;311256926;Maze Runner: The Scorch Trials;Dylan O'Brien;http://mazerunnermovies.com;Wes Ball;The Maze Was Just the Beginning.;based on novel|resistance|maze|post-apocalyptic|dystopia;132.0;Action;Gotham Group;09-09-2015;1849.0;6.4;2015.0;56119975.3072108;286356245.923251
280996;tt3168230;3.927333;0;29355203;Mr. Holmes;Ian McKellen;http://www.mrholmesfilm.com/;Bill Condon;The man behind the myth;london|detective|sherlock holmes;103.0;Mystery;BBC Films;6-19-15;425.0;6.4;2015.0;0.0;27006774.877019
198184;tt1823672;3.899557;49000000;102069268;Chappie;Sharlto Copley;http://www.chappie-movie.com;Neill Blomkamp;I am consciousness. I am alive. I am Chappie.;artificial intelligence|android|robot|near future|robot cop;120.0;Crime;Columbia Pictures;03-04-2015;1990.0;6.6;2015.0;45079980.1648087;93903685.2423785
254470;tt2848292;3.877764;29000000;287506194;Pitch Perfect 2;Anna Kendrick;;Elizabeth Banks;We're back pitches;music|sequel|singer|male female relationship|audition;115.0;Comedy;Universal Pictures;05-07-2015;1264.0;6.8;2015.0;26679988.2608051;264505582.097543
296098;tt3682448;3.64821;40000000;162610473;Bridge of Spies;Tom Hanks;;Steven Spielberg;In the shadow of war, one man showed the world what we stood for.;spy|cia|cold war|pilot|lawyer;141.0;Thriller;DreamWorks SKG;10-15-15;1638.0;7.1;2015.0;36799983.8080071;149601569.335309
257445;tt1051904;3.644541;58000000;150170815;Goosebumps;Jack Black;http://www.goosebumps-movie.com/;Rob Letterman;The stories are alive.;based on novel|magic|fantasy|family|3d;103.0;Adventure;Columbia Pictures;08-05-2015;600.0;6.2;2015.0;53359976.5216103;138157089.01088
264644;tt3170832;3.557846;6000000;35401758;Room;Brie Larson;http://www.roomthemovie.com;Lenny Abrahamson;Love knows no boundaries;based on novel|carpet|isolation|imprisonment|grandparents;117.0;Drama;Element Pictures;10-16-15;1520.0;8.0;2015.0;5519997.57120106;32569603.0293746
339527;tt1291570;3.358321;0;22354572;Solace;Abbie Cornish;;Afonso Poyart;A serial killer who can see your future, a psychic who can save it;thriller|serial killer|psychic|fbi agent|intrigue;101.0;Crime;Eden Rock Media;09-03-2015;474.0;6.2;2015.0;0.0;20566197.1908732
105864;tt1979388;3.339135;175000000;331926147;The Good Dinosaur;Raymond Ochoa;http://movies.disney.com/the-good-dinosaur;Peter Sohn;Little Arms With Big Attitude;tyrannosaurus rex|friends|animation|alternate history|dinosaur;93.0;Adventure;Walt Disney Pictures;11-14-15;1087.0;6.6;2015.0;160999929.160031;305371920.876354
241554;tt2199571;3.23737;50000000;71561644;Run All Night;Liam Neeson;;Jaume Collet-Serra;No sin goes unpunished;hitman|revenge|murder|on the run|mobster;114.0;Action;Vertigo Entertainment;03-11-2015;814.0;6.3;2015.0;45999979.7600089;65836683.5118592
167073;tt2381111;3.227329;11000000;62076141;Brooklyn;Saoirse Ronan;http://www.foxsearchlight.com/brooklyn/;John Crowley;Two countries, two loves, one heart;love triangle|based on novel|homesickness|vororte|ship;111.0;Drama;Wildgaze Films;11-04-2015;754.0;7.3;2015.0;10119995.5472019;57110024.5915891
277216;tt1398426;3.202719;28000000;201634991;Straight Outta Compton;O'Shea Jackson Jr.;http://www.straightouttacompton.com/;F. Gary Gray;The Story of N.W.A.;brother brother relationship|aids|police brutality|hip-hop|wife husband relationship;147.0;Drama;New Line Cinema;8-13-15;918.0;7.7;2015.0;25759988.6656049;185504110.098191
274854;tt1618442;3.080505;90000000;140396650;The Last Witch Hunter;Vin Diesel;http://www.thelastwitchhunter.movie/;Breck Eisner;Hunt forever.;new york|witch|uprising|witch hunter;106.0;Fantasy;Summit Entertainment;10-21-15;879.0;5.6;2015.0;82799963.568016;129164861.167461
321697;tt2080374;3.079522;30000000;34441873;Steve Jobs;Michael Fassbender;http://www.stevejobsthefilm.com;Danny Boyle;;biography|computer|based on true story|father daughter relationship|apple computer;122.0;History;Universal Pictures;10-09-2015;1035.0;6.9;2015.0;27599987.8560053;31686509.2179359
203801;tt1638355;3.053421;75000000;108145109;The Man from U.N.C.L.E.;Henry Cavill;;Guy Ritchie;Saving the world never goes out of style.;spy|cold war|remake|based on tv series|buddy cop;116.0;Comedy;Davis Entertainment;8-13-15;1548.0;7.0;2015.0;68999969.6400133;99493456.5028791
293863;tt1655441;3.025852;25000000;42629776;The Age of Adaline;Blake Lively;http://theageofadalinemovie.com;Lee Toland Krieger;Love is timeless.;san francisco|immortality|love|forever;112.0;Fantasy;Lakeshore Entertainment;4-16-15;1221.0;7.3;2015.0;22999989.8800044;39219376.6634742
325348;tt3072482;3.023253;10000000;14333790;Hardcore Henry;Sharlto Copley;http://stxmovies.com/hardcorehenry/;Ilya Naishuller;First they made him dangerous. Then they made him mad.;female nudity|cyborg|nudity|murder|gore;97.0;Action;Bazelevs Production;09-12-2015;396.0;5.9;2015.0;9199995.95200178;13187080.9976843
228161;tt2224026;2.976436;135000000;368871007;Home;Jim Parsons;http://www.meettheboov.com/;Tim Johnson;Worlds Collide;friendship|spaceship|space|alien|alien invasion;94.0;Fantasy;Twentieth Century Fox Film Corporation;3-18-15;1060.0;6.9;2015.0;124199945.352024;339361177.121082
286565;tt3622592;2.968254;12000000;85512300;Paper Towns;Nat Wolff;;Jake Schreier;Get Lost. Get Found.;friendship|high school|teen|classmate|based on young adult book;109.0;Drama;Fox 2000 Pictures;07-09-2015;1252.0;6.2;2015.0;11039995.1424021;78671281.3846362
265208;tt2231253;2.93234;30000000;0;Wild Card;Jason Statham;;Simon West;Never bet against a man with a killer hand.;gambling|bodyguard|remake;92.0;Thriller;Current Entertainment;1-14-15;481.0;5.3;2015.0;27599987.8560053;0.0
254320;tt3464902;2.885126;4000000;9064511;The Lobster;Colin Farrell;http://tickets.picturehouseentertainment.co.uk/gb/the-lobster/;Yorgos Lanthimos;An unconventional love story...;dystopia;118.0;Thriller;Haut et Court;10-08-2015;638.0;6.6;2015.0;3679998.38080071;8339346.45068756
258480;tt2402927;2.883233;11800000;40272135;Carol;Cate Blanchett;http://carolfilm.com/;Todd Haynes;Some people change your life forever.;gay|new york|female nudity|chicago|sex;118.0;Romance;Killer Films;11-20-15;562.0;7.1;2015.0;10855995.2233621;37050347.8978469
257211;tt2361509;2.814802;35000000;194564672;The Intern;Robert De Niro;http://www.theinternmovie.com/;Nancy Meyers;Experience never gets old;intern|woman director;121.0;Comedy;Waverly Films;9-24-15;1255.0;7.1;2015.0;32199985.8320062;178999419.480255
253412;tt2719848;2.798017;55000000;203427584;Everest;Jason Clarke;http://www.everestmovie.com/;Baltasar KormÃ¡kur;The Storm Awaits.;mountains|snow storm|hiking|snow|death;121.0;Adventure;Universal Pictures;09-10-2015;1172.0;6.7;2015.0;50599977.7360098;187153294.93255
274479;tt2446980;2.793297;60000000;101134059;Joy;Jennifer Lawrence;http://www.foxmovies.com/movies/joy;David O. Russell;;biography;124.0;Comedy;Fox 2000 Pictures;12-24-15;1001.0;6.4;2015.0;55199975.7120106;93043293.3409509
257088;tt2058673;2.614499;105000000;133718711;Point Break;Edgar RamÃ­rez;https://www.facebook.com/PointBreakMovie;Ericson Core;The only law that matters is gravity;undercover|undercover agent|extreme sports|fbi agent|3d;114.0;Action;Studio Babelsberg;12-03-2015;505.0;5.5;2015.0;96599957.4960187;123021159.990689
295964;tt2503944;2.584264;20000000;36606743;Burnt;Bradley Cooper;http://burntmovie.com/;John Wells;Never underestimate a man with everything to lose.;london|cook|restaurant|diva|career;100.0;Drama;Double Feature Films;10-02-2015;631.0;6.3;2015.0;18399991.9040035;33678188.7415969
238615;tt2140379;2.578919;26000000;30523226;Self/less;Ryan Reynolds;http://selflessmovie.tumblr.com/;Tarsem Singh;God Created Man. Man Created Immortality.;lie|immortality|terminal illness|laboratory|cancer;116.0;Science Fiction;Endgame Entertainment;07-10-2015;719.0;6.2;2015.0;23919989.4752046;28081355.5642035
210860;tt3045616;2.575711;60000000;30418560;Mortdecai;Johnny Depp;http://mortdecaithemovie.com/;David Koepp;Sophistication Has a Name.;based on novel|painting|debt|art dealer|stolen painting;106.0;Comedy;Lionsgate;1-21-15;696.0;5.3;2015.0;55199975.7120106;27985062.8865723
306819;tt0810819;2.557859;15000000;64191523;The Danish Girl;Eddie Redmayne;;Tom Hooper;Find the courage to be yourself.;paris|denmark|copenhagen|artist|art;120.0;Drama;Pretty Pictures;11-27-15;867.0;7.3;2015.0;13799993.9280026;59056175.1752829
201088;tt2717822;2.550747;70000000;17752940;Blackhat;Chris Hemsworth;http://www.legendary.com/film/blackhat/;Michael Mann;We are no longer in control.;terrorist|technology|anti hero|hacker|computer virus;133.0;Mystery;Universal Pictures;1-13-15;584.0;5.0;2015.0;64399971.6640124;16332697.613613
273481;tt3397884;2.487849;30000000;84025816;Sicario;Emily Blunt;;Denis Villeneuve;The border is just another line to cross.;mexico|cia|smoking|texas|fbi;121.0;Action;Lionsgate;9-17-15;1479.0;7.1;2015.0;27599987.8560053;77303716.7063646
166424;tt1502712;2.487042;120000001;167977596;Fantastic Four;Miles Teller;http://www.fantasticfourmovie.com/;Josh Trank;Change is coming.;teleportation|transformation|telekinesis|portal|marvel comic;100.0;Action;Twentieth Century Fox Film Corporation;08-05-2015;1565.0;4.4;2015.0;110399952.34402;154539320.322699
310131;tt4263482;2.46449;3500000;40423945;The Witch;Anya Taylor-Joy;http://a24films.com/films/witch/;Robert Eggers;Evil takes many forms.;witch|new england|17th century;92.0;Mystery;Parts and Labor;3-24-15;700.0;5.8;2015.0;3219998.58320062;37190013.0363942
238713;tt3079380;2.404473;65000000;235666219;Spy;Melissa McCarthy;http://www.foxmovies.com/movies/spy;Paul Feig;One of the guys. One of the Spies.;spy|cia|undercover|arms dealer|disaster;120.0;Action;Twentieth Century Fox Film Corporation;05-06-2015;1840.0;6.9;2015.0;59799973.6880115;216812826.082356
256591;tt2381941;2.395366;50100000;153962963;Focus;Will Smith;http://focusmovie.com/;Glenn Ficarra|John Requa;Never Drop The Con.;seduction|con man|femme fatale|deception|con artist;105.0;Romance;Kramer & Sigman Films;2-25-15;1831.0;6.7;2015.0;46091979.7195289;141645863.63582
249070;tt2679042;2.354654;35000000;82347656;Hitman: Agent 47;Rupert Friend;http://www.foxmovies.com/movies/hitman-agent-47;Aleksander Bach;Your Number is Up.;assassin|secret identity|intelligence|hitman|execution;96.0;Action;Twentieth Century Fox Film Corporation;8-20-15;820.0;5.5;2015.0;32199985.8320062;75759810.1856835
205775;tt1390411;2.345821;100000000;93820758;In the Heart of the Sea;Chris Hemsworth;http://www.intheheartoftheseamovie.com/;Ron Howard;Based on the incredible true story that inspired Moby Dick;suicide|ocean|sea|hunger|shipwreck;122.0;Thriller;Imagine Entertainment;11-20-15;805.0;6.4;2015.0;91999959.5200178;86315059.3813738
334074;tt3247714;2.331636;20000000;0;Survivor;Pierce Brosnan;http://survivormovie.com/;James McTeigue;His Next Target is Now Hunting Him;new year's eve|fire|showdown|terrorist|embassy;96.0;Crime;Nu Image Films;5-21-15;280.0;5.4;2015.0;18399991.9040035;0.0
312221;tt3076658;2.331567;35000000;137935567;Creed;Michael B. Jordan;http://creedthemovie.com/;Ryan Coogler;Your legacy is more than a name;underdog|sport|spin off|underground fighting|motivational speaker;133.0;Drama;New Line Cinema;11-25-15;1171.0;7.3;2015.0;32199985.8320062;126900665.803707
271718;tt3152624;2.31767;35000000;140795793;Trainwreck;Amy Schumer;;Judd Apatow;We All Know One.;alcohol|one-night stand;125.0;Comedy;Universal Pictures;7-17-15;849.0;6.1;2015.0;32199985.8320062;129532072.565888
333352;tt2057392;2.29573;13000000;32848185;Eye in the Sky;Helen Mirren;;Gavin Hood;Welcome to the new front line;terrorist|drone|u.s. military|air force base|combat drone;102.0;Drama;Entertainment One;09-11-2015;265.0;7.2;2015.0;11959994.7376023;30220316.9030605
276907;tt3569230;2.28135;25000000;42972994;Legend;Tom Hardy;https://www.uphe.com/movies/legend-2015;Brian Helgeland;Love, fight, live, rule like a legend.;biography|based on true story|gangster|twins;131.0;Crime;Working Title Films;09-09-2015;619.0;6.7;2015.0;22999989.8800044;39535137.0845396
284289;tt2911668;2.272044;0;45895;Beyond the Reach;Michael Douglas;;Jean-Baptiste LÃ©onetti;;desert|hunting;95.0;Thriller;Furthur Films;4-17-15;81.0;5.5;2015.0;0.0;42223.3814217121
266647;tt3332064;2.234573;150000000;128388320;Pan;Levi Miller;;Joe Wright;Every legend has a beginning.;flying|magic|fairy tale|peter pan|mermaid;111.0;Adventure;Warner Bros.;9-24-15;586.0;5.9;2015.0;137999939.280026;118117202.42843
347096;tt3478232;2.165433;0;0;Mythica: The Darkspore;Melanie Stone;http://www.mythicamovie.com/#!blank/wufvh;Anne K. Black;;sword|magic|sorcery|necromancer|woman director;108.0;Action;Arrowstorm Entertainment;6-24-15;27.0;5.1;2015.0;0.0;0.0
308369;tt2582496;2.141506;0;0;Me and Earl and the Dying Girl;Thomas Mann;http://www.foxsearchlight.com/meandearlandthedyinggirl/;Alfonso Gomez-Rejon;A Little Friendship Never Killed Anyone.;tattoo|high school|leukemia|friends|parody;105.0;Comedy;Indian Paintbrush;06-12-2015;569.0;7.7;2015.0;0.0;0.0
227973;tt2452042;2.140199;99000000;246233113;The Peanuts Movie;Noah Schnapp;http://www.peanutsmovie.com/;Steve Martino;The story of an underdog. And his dog.;based on comic strip|family|3d|charlie brown|snoopy;88.0;Adventure;Blue Sky Studios;11-05-2015;414.0;6.4;2015.0;91079959.9248176;226534364.284879
321741;tt3322364;2.121884;35000000;48623572;Concussion;Will Smith;http://www.sonypictures.com/movies/concussion/;Peter Landesman;Even Legends Need a Hero;american football|biography|professional sports|sports injury|nfl;123.0;Drama;Village Roadshow Pictures;11-12-2015;500.0;6.9;2015.0;32199985.8320062;44733666.5571867
296100;tt3530002;2.096273;25000000;52395996;The Night Before;Joseph Gordon-Levitt;https://www.facebook.com/NightBeforeMovie;Jonathan Levine;Their past, present and future. All in one night.;male friendship|new york city|drug|christmas eve|childhood friend;100.0;Comedy;Sony Pictures;11-20-15;363.0;6.1;2015.0;22999989.8800044;48204295.1101101
263472;tt3605418;2.080935;2500000;5214043;Knock Knock;Keanu Reeves;http://knockknockmovie.tumblr.com/;Eli Roth;One night can cost you everything.;female nudity|sex|disc jockey|infidelity|rain;99.0;Drama;Universum Film (UFA);6-26-15;473.0;4.8;2015.0;2299998.98800044;4796917.44935632
228205;tt2726560;2.070708;34000000;63013281;The Longest Ride;Scott Eastwood;;George Tillman, Jr.;Two couples. Two love stories. One epic tale.;based on novel|art student|cowboys|injury|bull riding;128.0;Romance;Fox 2000 Pictures;04-09-2015;711.0;7.3;2015.0;31279986.236806;57972193.012235
159824;tt2510894;2.060162;80000000;466183544;Hotel Transylvania 2;Adam Sandler;;Genndy Tartakovsky;They're back to raise a little terror;transylvania|hotel|witch|technology|magic;89.0;Animation;Columbia Pictures;9-21-15;919.0;6.8;2015.0;73599967.6160142;428888671.768984
333348;tt2279339;2.055572;17000000;24000000;Love the Coopers;Steve Martin;http://www.cbsfilms.com/love-the-coopers/;Jessie Nelson;Christmas means comfort, joy and chaos.;big family|family relationships|family|woman director|christmas;107.0;Family;Imagine Entertainment;11-12-2015;111.0;5.3;2015.0;15639993.118403;22079990.2848042
285783;tt3488710;2.049886;35000000;61181942;The Walk;Joseph Gordon-Levitt;http://www.sonypictures.com/movies/thewalk/;Robert Zemeckis;Dream High.;1970s|skyscraper|based on true story|tightrope|planning;123.0;Adventure;TriStar Pictures;9-30-15;706.0;6.8;2015.0;32199985.8320062;56287361.8735607
290764;tt2401097;2.026651;11000000;1863315;Tracers;Marie Avgeropoulos;http://www.unlimited-movie.com/;Daniel Benmayor;It's not a crime if they can't catch you.;chinese mafia|parkour|new york city|loan shark|young adult;94.0;Action;Temple Hill Entertainment;1-15-15;326.0;5.9;2015.0;10119995.5472019;1714249.04573042
296099;tt1524930;2.000338;31000000;104384188;Vacation;Ed Helms;;John Francis Daley|Jonathan M. Goldstein;What could go wrong?;route 66|grand canyon|cow|vacation|road trip;99.0;Adventure;New Line Cinema;7-28-15;846.0;6.1;2015.0;28519987.4512055;96033410.7052992
243688;tt1029360;1.984529;35000000;95437994;Poltergeist;Sam Rockwell;;Gil Kenan;They're Here. And They Know What Scares You.;poltergeist|haunted house|remake|duringcreditsstinger;93.0;Horror;Ghost House Pictures;5-20-15;589.0;5.0;2015.0;32199985.8320062;87802915.846717
287424;tt1881002;1.980039;4000000;187112;Maggie;Arnold Schwarzenegger;http://www.maggiethefilm.com/;Henry Hobson;Don't Get Bitten;post-apocalyptic|dystopia|zombies;95.0;Horror;Lionsgate;05-08-2015;384.0;5.1;2015.0;3679998.38080071;172142.964257095
301875;tt3289728;1.959765;0;2000000;Equals;Kristen Stewart;http://equals-the-movie.com/;Drake Doremus;Find your equal.;illustrator|sex scene|near future|infected|emotions;101.0;Drama;Scott Free Productions;09-04-2015;135.0;5.6;2015.0;0.0;1839999.19040035
181283;tt1014763;1.95632;50000000;3324330;Child 44;Tom Hardy;;Daniel Espinosa;How do you find a killer who doesnâ€™t exist?;murder|serial killer|military|chili|soviet union;137.0;Crime;Summit Entertainment;3-15-15;341.0;5.9;2015.0;45999979.7600089;3058382.2543118
328425;tt4178092;1.926739;5000000;58978653;The Gift;Jason Bateman;https://www.facebook.com/GIFTmovie;Joel Edgerton;Not every gift is welcome.;detective|stalker|gift|bully|psychological thriller;108.0;Thriller;Blumhouse Productions;7-30-15;631.0;6.6;2015.0;4599997.97600089;54260336.8854517
274167;tt1528854;1.904898;50000000;240360392;Daddy's Home;Will Ferrell;http://daddyshomemovie.tumblr.com/;Sean Anders;Choose your Daddy;daddys home;96.0;Comedy;Paramount Pictures;12-25-15;568.0;5.7;2015.0;45999979.7600089;221131463.342156
370687;tt3608646;1.876037;0;0;Mythica: The Necromancer;Melanie Stone;http://www.mythicamovie.com/#!blank/y9ake;A. Todd Smith;;sword|magic|sorcery|necromancer;0.0;Fantasy;Arrowstorm Entertainment;12-19-15;11.0;5.4;2015.0;0.0;0.0
307663;tt3480796;1.872696;10000000;0;Vice;Ambyr Childers;;Brian A Miller;Where the future is your past.;artificial intelligence|android|self-awareness|mercenary|virtual reality;96.0;Thriller;Grindstone Entertainment Group;1-16-15;181.0;4.1;2015.0;9199995.95200178;0.0
309809;tt1754656;1.865007;64000000;97571250;The Little Prince;Jeff Bridges;http://www.thelittleprincemovie.com/;Mark Osborne;Growing up isn't the problem... forgetting is.;philosophy|utopia|airplane|adventure|dystopia;92.0;Adventure;Onyx Films;7-29-15;423.0;7.5;2015.0;58879974.0928114;89765510.5031753
